zip,under_18_years,households,under_3_years,3_to_4_years,5_years,6_to_8_years,9_to_11_years,12_to_14_years,15_to_17_years,group_quarters
73430,331,331,65,35,15,55,51,64,46,0
73931,118,118,14,10,6,22,19,23,24,0
73949,320,320,94,43,12,29,52,28,62,0
75001,2198,2198,676,118,108,560,223,236,277,0
75002,19937,19937,2204,2023,1018,3246,4193,3522,3731,0
75006,12879,12879,2612,1165,553,2125,2071,2218,2135,0
75007,11659,11659,1639,998,529,1668,2055,2037,2733,0
75009,4359,4359,671,653,393,607,706,616,713,0
75010,6342,6342,1134,737,111,690,1193,1425,1052,0
75013,12399,12399,988,1176,526,2447,2187,2484,2591,0
75019,11567,11567,1314,1387,567,1665,2115,2107,2412,0
75020,5318,5318,987,528,184,768,1211,682,958,0
75021,2003,2003,360,243,38,311,322,422,307,0
75022,8062,8062,1077,774,311,1075,1369,1708,1748,0
75023,10417,10415,1604,1178,417,1615,1832,1974,1795,2
75024,9784,9784,1472,694,673,1544,1690,1933,1778,0
75025,13600,13600,1446,1272,842,2306,2230,2546,2958,0
75028,12810,12809,1588,1104,670,2004,2360,2663,2420,1
75032,8729,8729,1031,610,444,1331,1388,1708,2217,0
75034,31356,31356,3662,2871,1512,5359,6100,6374,5478,0
75035,24042,24042,2357,2368,1323,4070,4907,4604,4413,0
75038,7083,7083,1765,1055,376,1478,1009,728,672,0
75039,3417,3417,1326,504,176,657,409,128,217,0
75040,16819,16819,2424,1596,829,2731,2663,3308,3268,0
75041,9762,9757,1822,887,509,1916,1549,1613,1461,5
75042,11748,11747,2013,1146,570,1850,2161,1709,2298,1
75043,17278,17244,2879,1777,683,2962,3474,3137,2332,34
75044,9186,9186,1352,923,395,1487,1431,1602,1996,0
75048,6551,6551,1790,504,114,753,1111,1093,1186,0
75050,11934,11927,2293,1335,565,2085,1678,1945,2026,7
75051,12598,12584,2090,1270,988,1936,2248,1896,2156,14
75052,26032,26028,3080,2935,1376,4238,4124,5084,5191,4
75054,3930,3930,563,396,235,648,768,654,666,0
75056,14704,14704,2243,1642,770,2511,2226,2743,2569,0
75057,3888,3884,488,390,218,841,656,688,603,4
75058,723,723,83,52,13,101,137,206,131,0
75060,14550,14550,2065,1570,601,2418,2667,2468,2761,0
75061,16521,16515,2857,2051,937,2496,2877,2465,2832,6
75062,13494,13478,2076,1584,674,2311,2069,2241,2523,16
75063,10024,10024,1912,1022,760,1930,1878,1510,1012,0
75065,2875,2875,325,422,110,395,593,570,460,0
75067,16686,16686,3372,2057,1086,2872,2518,2437,2344,0
75068,20868,20868,2677,2301,1221,4140,3603,3572,3354,0
75069,9137,9137,1312,757,438,1440,1649,1681,1860,0
75070,30249,30249,4668,3361,1627,5610,5210,5379,4394,0
75071,16386,16322,2217,1892,879,3024,3024,2336,2950,64
75074,12617,12617,1957,1436,716,1764,2644,2125,1975,0
75075,7109,7105,1071,878,322,898,1078,1276,1582,4
75076,1713,1713,286,97,100,230,397,276,327,0
75077,8663,8661,1178,805,447,1600,1479,1498,1654,2
75078,9926,9926,1170,1075,588,1775,1891,1858,1569,0
75080,11530,11523,2107,1677,581,1682,1399,2209,1868,7
75081,9294,9294,1540,1233,567,1445,1424,1520,1565,0
75082,5255,5255,465,524,295,881,966,946,1178,0
75087,9265,9265,1457,961,428,1718,1711,1599,1391,0
75088,5821,5821,941,623,308,945,994,890,1120,0
75089,9756,9756,1529,1128,274,1460,1601,1588,2176,0
75090,6693,6662,1130,882,167,1259,1136,1085,1003,31
75092,5832,5832,873,600,273,961,1152,1096,877,0
75093,9948,9942,1332,786,423,1596,1845,1838,2122,6
75094,7655,7655,659,882,288,1189,1229,1826,1582,0
75098,16993,16993,2166,1979,1020,2614,3020,3187,3007,0
75101,144,144,14,22,5,32,20,20,31,0
75102,393,393,24,62,53,38,97,29,90,0
75103,3065,3042,378,243,109,472,505,681,654,23
75104,14402,14402,1759,1374,813,2340,2654,2941,2521,0
75105,27,27,0,0,0,0,14,0,13,0
75109,1043,1043,132,117,29,172,283,125,185,0
75110,7767,7662,1386,876,360,1086,1272,1439,1243,105
75114,1802,1802,236,223,93,212,356,283,399,0
75115,14160,14160,1844,1514,652,2580,2639,2274,2657,0
75116,5838,5838,1015,759,212,1068,981,849,954,0
75117,1195,1195,146,156,56,164,221,235,217,0
75119,7507,7507,1194,839,361,1350,1154,1192,1417,0
75124,734,729,79,91,75,88,137,119,140,5
75125,1944,1944,366,260,90,161,281,354,432,0
75126,15611,15611,2289,1849,1079,2559,2645,2705,2485,0
75127,407,407,46,84,16,52,61,55,93,0
75132,456,456,101,31,76,83,97,34,34,0
75134,6817,6817,1225,451,310,1383,1104,1013,1331,0
75135,2091,2091,211,204,24,366,369,450,467,0
75137,4736,4736,499,485,271,643,963,771,1104,0
75140,1988,1975,383,291,76,313,443,206,263,13
75141,1342,1342,279,131,27,258,200,273,174,0
75142,5306,5290,761,425,343,795,955,976,1035,16
75143,3195,3195,473,309,150,564,533,572,594,0
75144,744,744,133,87,45,91,106,138,144,0
75146,6028,6028,1514,628,245,866,1082,924,769,0
75147,1384,1381,259,84,30,268,278,234,228,3
75148,1472,1472,190,138,135,189,227,278,315,0
75149,17014,17014,2479,1704,791,2889,3090,3224,2837,0
75150,17101,17101,2825,1970,912,2802,3011,2833,2748,0
75152,1790,1790,311,99,69,395,289,396,231,0
75153,91,91,20,20,0,20,13,9,9,0
75154,11436,11436,1426,988,604,1911,2256,2241,2010,0
