county,under_18_years,households,under_3_years,3_to_4_years,5_years,6_to_8_years,9_to_11_years,12_to_14_years,15_to_17_years,group_quarters
Texas,7338445,7323403,1175987,823336,387740,1219554,1260066,1242282,1214438,15042
Anderson,11248,11248,1411,1634,435,2055,1927,1830,1956,0
Andrews,5688,5688,912,639,295,966,940,1011,925,0
Angelina,22448,22408,3636,2245,1195,3868,3862,3775,3827,40
Aransas,4589,4587,759,377,76,1005,836,631,903,2
Archer,1894,1894,288,168,91,267,352,336,392,0
Armstrong,456,456,61,57,11,64,97,82,84,0
Atascosa,13618,13615,2447,1190,740,2094,2349,2480,2315,3
Austin,7132,7097,1034,752,496,1101,1321,1153,1240,35
Bailey,2061,2061,299,159,128,363,190,303,619,0
Bandera,3809,3809,544,406,72,697,694,678,718,0
Bastrop,21566,21561,3158,2361,1036,3376,3432,4270,3928,5
Baylor,746,746,107,46,62,138,167,125,101,0
Bee,6902,6839,1099,802,295,1132,1138,1235,1138,63
Bell,96758,96681,17335,12363,5596,16387,15496,15041,14463,77
Bexar,502367,501472,83169,55901,27720,82614,84943,84413,82712,895
Blanco,2098,2098,283,203,37,484,311,360,420,0
Borden,179,179,70,30,3,21,13,18,24,0
Bosque,3900,3900,553,426,178,544,708,796,695,0
Bowie,22148,22125,3218,2769,1064,3580,4053,3695,3746,23
Brazoria,95619,95423,14584,10432,5199,16743,15942,16476,16047,196
Brazos,45845,45670,8276,5399,2430,6957,8163,7424,7021,175
Brewster,1769,1763,163,306,164,252,263,367,248,6
Briscoe,237,237,27,25,9,51,39,41,45,0
Brooks,1890,1890,419,159,101,330,282,291,308,0
Brown,8387,8264,1126,839,488,1290,1534,1420,1567,123
Burleson,4015,4015,700,379,215,706,497,767,751,0
Burnet,9951,9943,1263,1154,393,1711,1461,2017,1944,8
Caldwell,10148,9681,1894,733,658,1701,1507,1615,1573,467
Calhoun,5355,5353,976,470,339,780,872,1015,901,2
Callahan,3102,3102,419,277,140,556,629,512,569,0
Cameron,129734,128711,20285,14501,7329,20763,21567,22290,21976,1023
Camp,3397,3392,650,235,243,581,575,572,536,5
Carson,1476,1476,272,147,64,261,243,226,263,0
Cass,6785,6777,1077,631,489,1161,1019,1200,1200,8
Castro,2230,2230,286,309,137,451,393,330,324,0
Chambers,11584,11584,1899,887,693,2123,2049,1833,2100,0
Cherokee,13321,13277,2037,1692,508,2277,2349,2139,2275,44
Childress,1286,1286,226,74,0,361,308,166,151,0
Clay,2127,2126,302,156,83,422,366,397,400,1
Cochran,781,759,139,73,32,153,113,122,127,22
Coke,691,637,73,19,23,145,107,155,115,54
Coleman,1785,1785,245,219,125,316,365,185,330,0
Collin,256118,256036,33818,27082,13488,42179,46393,46723,46353,82
Collingsworth,744,744,72,115,20,191,125,113,108,0
Colorado,4991,4991,960,430,164,910,992,778,757,0
Comal,32191,32123,4770,3414,1567,4756,5494,6289,5833,68
Comanche,3019,3019,586,184,157,466,445,634,547,0
Concho,496,496,78,16,5,134,77,100,86,0
Cooke,9550,9402,1663,1068,409,1472,1916,1298,1576,148
Coryell,17429,17365,2959,2312,1031,2808,2942,2883,2430,64
Cottle,513,513,78,77,22,61,95,72,108,0
Crane,1468,1468,245,140,49,286,186,323,239,0
Crockett,846,846,113,57,46,133,139,197,161,0
Crosby,1568,1568,246,144,65,215,245,388,265,0
Culberson,638,638,154,76,16,156,83,51,102,0
Dallam,2302,2302,438,254,60,419,545,307,279,0
Dallas,687338,686299,115239,79624,35329,116223,117800,112834,109250,1039
Dawson,3330,3328,471,434,66,596,603,628,530,2
Deaf Smith,5866,5842,837,818,332,963,880,1066,946,24
Delta,1222,1222,183,114,33,241,214,220,217,0
Denton,208913,208176,31053,22000,10675,35520,35548,37443,35937,737
DeWitt,4607,4584,602,725,252,825,768,621,791,23
Dickens,442,442,84,32,21,73,65,76,91,0
Dimmit,3069,3067,411,340,155,412,852,450,447,2
Donley,668,668,110,57,35,101,150,98,117,0
Duval,2900,2899,230,575,82,468,516,617,411,1
Eastland,3823,3801,573,515,151,674,550,681,657,22
Ector,48455,48403,8509,6119,3152,8075,8169,7252,7127,52
Edwards,284,284,0,82,24,97,42,13,26,0
Ellis,46558,46432,6923,4742,2053,8105,7474,8855,8280,126
El Paso,229502,229160,38410,25472,11565,36874,38737,39506,38596,342
Erath,8751,8669,1643,925,436,1554,1266,1492,1353,82
Falls,3672,3672,726,317,194,605,585,702,543,0
Fannin,7318,7316,1038,702,421,987,1246,1603,1319,2
Fayette,5157,5145,599,669,368,855,947,863,844,12
Fisher,870,870,189,112,46,147,75,169,132,0
Floyd,1556,1556,229,136,47,234,373,268,269,0
Foard,231,231,35,15,0,13,33,62,73,0
Fort Bend,211669,211541,29436,23382,9769,36862,38619,35994,37479,128
Franklin,2590,2590,486,110,149,501,340,473,531,0
Freestone,4486,4477,647,490,212,796,836,621,875,9
Frio,4742,4137,693,533,268,803,491,591,758,605
Gaines,7456,7456,1451,821,361,1205,1204,1280,1134,0
Galveston,81264,81199,12523,8750,4210,13507,14452,13746,14011,65
Garza,962,907,109,151,83,138,119,114,193,55
Gillespie,5330,5330,491,825,125,848,988,1047,1006,0
Glasscock,343,343,50,14,0,28,69,118,64,0
Goliad,1638,1629,148,144,105,267,329,370,266,9
Gonzales,5606,5606,1019,496,326,892,994,933,946,0
Gray,5735,5732,1034,575,363,1035,994,797,934,3
Grayson,31100,31068,4978,3292,1141,5076,5678,5729,5174,32
Gregg,31935,31894,5611,3483,2169,5044,5313,5323,4951,41
Grimes,6309,6309,839,691,246,1184,1228,988,1133,0
Guadalupe,40333,40294,5404,4589,2548,6734,6821,6908,7290,39
Hale,9208,9181,1223,1075,520,1336,1681,1759,1587,27
Hall,678,676,58,47,39,100,145,168,119,2
Hamilton,1731,1728,261,231,92,215,305,326,298,3
Hansford,1644,1644,269,178,59,302,168,330,338,0
Hardeman,820,820,107,91,13,156,167,156,130,0
Hardin,14029,14023,2107,1624,770,2595,2398,2155,2374,6
Harris,1245892,1244908,211762,140707,66793,207720,213853,204476,199597,984
Harrison,16900,16768,2538,1735,906,2703,2846,3144,2896,132
Hartley,1218,1218,177,133,79,94,296,223,216,0
Haskell,1052,1052,132,100,76,199,155,184,206,0
Hays,49369,49102,7272,5744,2828,7962,8659,8691,7946,267
Hemphill,1261,1261,101,136,16,252,208,305,243,0
Henderson,17464,17459,2976,1511,983,2395,3071,3318,3205,5
Hidalgo,281738,281615,44055,34544,13967,46705,47078,48807,46459,123
Hill,8321,8275,1209,895,452,1366,1397,1482,1474,46
Hockley,6030,6025,878,672,254,1039,1051,1066,1065,5
Hood,12290,12226,1613,1559,761,2026,2118,1977,2172,64
Hopkins,9090,9068,1393,918,391,1632,1484,1668,1582,22
Houston,4498,4414,844,328,330,714,904,579,715,84
Howard,8036,7990,1333,977,224,1343,1463,1440,1210,46
Hudspeth,1083,1083,168,43,8,382,140,139,203,0
Hunt,22526,22482,3469,2437,1121,3954,3717,3853,3931,44
Hutchinson,5486,5486,887,508,335,903,880,939,1034,0
Irion,425,425,33,33,26,102,41,155,35,0
Jack,1877,1877,230,248,76,258,333,392,340,0
Jackson,3773,3773,507,503,166,516,653,836,592,0
Jasper,8570,8570,1167,927,608,1405,1503,1512,1448,0
