Operation Number,Operation Region,Operation Name,Address Line 1,Address Line 2,City,Zip Code,County,Operation Type,Capacity,Permit Issue Date,"Permit Status
3/1/2021","Operating Status
3/1/2021","Permit Status
3/6/2021","Operating Status
3/6/2021","Permit Status
3/13/2021","Operating Status
3/13/2021","Permit Status
3/20/2021","Operating Status
3/20/2021","Permit Status
3/27/2021","Operating Status
3/27/2021",,
99,3,Cliff Temple Child Development,125 SUNSET AVE,,DALLAS,75208,DALLAS,Licensed Center - Child Care Program,150,4/10/87,Full,Y,,,,,,,,,,
139,7,Ebenezer Child Development Center,1014 E 10TH ST,,AUSTIN,78702,TRAVIS,Licensed Center - Child Care Program,160,6/3/96,Full,Y,,,,,,,,,,
202,9,Odessa Day Nursery,1106 N TOM GREEN AVE,,ODESSA,79761,ECTOR,Licensed Center - Child Care Program,117,12/16/86,Full,Y,,,,,,,,,,
612,9,San Angelo Early Childhood Center,619 JULIAN ST,,SAN ANGELO,76903,TOM GREEN,Licensed Center - Child Care Program,238,9/30/91,Full,Y,,,,,,,,,,
766,4,Tyler Day Nursery,2901 W GENTRY PKWY,,TYLER,75702,SMITH,Licensed Center - Child Care Program,150,1/17/90,Full,Y,,,,,,,,,,
1897,5,Central Day Care Center,4265 E LUCAS DR,,BEAUMONT,77708,JEFFERSON,Licensed Center - Child Care Program,70,12/31/98,Full,N,,,,,,,Closed,,,
5503,7,First Baptist Preschool Development,500 WEBSTER AVE,,WACO,76706,MCLENNAN,Licensed Center - Child Care Program,175,12/12/86,Full,Y,,,,,,,,,,
5807,7,ST Martin's Lutheran Day School,606 W 15TH ST,,AUSTIN,78701,TRAVIS,Licensed Center - Child Care Program,140,1/23/86,Full,Y,,,,,,,,,,
5909-667,1,McLellan Learning Center,401 S VAN BUREN ST,,AMARILLO,79101,POTTER,Licensed Center - Child Care Program,125,1/6/87,Full,Y,,,,,,,,,,
5910-667,1,Mary Miles Learning Center,1700 S VAN BUREN ST,,AMARILLO,79102,POTTER,Licensed Center - Child Care Program,100,4/15/87,Full,Y,,,,,,,,,,
5911-667,1,Will Rogers Learning Center,702 N JOHNSON ST,,AMARILLO,79107,POTTER,Licensed Center - Child Care Program,125,1/30/87,Full,Y,,,,,,,,,,
6070,3,Mary Peterson CCC,1103 E COLLIN ST,,CORSICANA,75110,NAVARRO,Licensed Center - Child Care Program,80,10/11/85,Full,Y,,,,,,,,,,
6092-5214,3,ChildCareGroup Anderson Center,625 E AVENUE B,,GARLAND,75040,DALLAS,Licensed Center - Child Care Program,78,8/13/86,Full,Y,,,,,,,,,,
6668-667,1,Watley Learning Center,1208 NW 13TH AVE,,AMARILLO,79107,POTTER,Licensed Center - Child Care Program,65,1/5/87,Full,Y,,,,,,,,,,
6798,3,Jack and Jill Day Care Center,800 MARTIN LUTHER KING ST,,DENISON,75020,GRAYSON,Licensed Center - Child Care Program,42,10/28/86,Full,Y,,,,,,,,,,
6864,3,Good Street Learning Center  INC,3126 ELSIE FAYE HEGGINS ST,,DALLAS,75215,DALLAS,Licensed Center - Child Care Program,100,3/30/87,Full,Y,,,,,,,,,,
8250,11,Greenwood Molina Childrens Center,954 NATIONAL DR,,CORPUS CHRISTI,78416,NUECES,Licensed Center - Child Care Program,140,4/30/87,Full,Y,,,,,,,,,,
8683,3,Christ Lutheran Child Development Center,3001 LOVERS LN,,DALLAS,75225,DALLAS,Licensed Center - Child Care Program,102,3/20/86,Full,Y,,,,,,,,,,
8696,3,Hamilton Park Methodist Church,11881 SCHROEDER RD,,DALLAS,75243,DALLAS,Licensed Center - Child Care Program,102,3/30/87,Full,Y,,,,,,,,,,
