Operation Number,Operation Region,Operation Name,Operation Name (Number),Address Line 1,Address Line 2,City,Zip Code,County,Operation Type,Capacity,Permit Issue Date,Today,Dt Load Process,Effective Date 1/1/22,Operating Status 1/1/22,Permit Status 1/1/22,Effective Date 1/8/22,Operating Status 1/8/22,Permit Status 1/8/22,Effective Date 1/15/22,Operating Status 1/15/22,Permit Status 1/15/22,Effective Date 1/22/22,Operating Status 1/22/22,Permit Status 1/22/22,Effective Date 1/29/22,Operating Status 1/29/22,Permit Status 1/29/22
99,3,Cliff Temple Child Development,Cliff Temple Child Development (99),125 SUNSET AVE,,DALLAS,75208,DALLAS,Licensed Center - Child Care Program,150,4/10/87,3/2/22,2/7/22,6/15/20,Y,Full,,,,,,,,,,,,
139,7,Ebenezer Child Development Center,Ebenezer Child Development Center (139),1014 E 10TH ST,,AUSTIN,78702,TRAVIS,Licensed Center - Child Care Program,160,6/3/96,3/2/22,2/7/22,5/11/20,Y,Full,,,,,,,,,,,,
202,9,Odessa Day Nursery,Odessa Day Nursery (202),1106 N TOM GREEN AVE,,ODESSA,79761,ECTOR,Licensed Center - Child Care Program,117,12/16/86,3/2/22,2/7/22,4/6/20,Y,Full,,,,,,,,,,,,
612,9,San Angelo Early Childhood Center,San Angelo Early Childhood Center (612),619 JULIAN ST,,SAN ANGELO,76903,TOM GREEN,Licensed Center - Child Care Program,238,9/30/91,3/2/22,2/7/22,2/1/21,Y,Full,,,,,,,,,,,,
766,4,Tyler Day Nursery,Tyler Day Nursery (766),2901 W GENTRY PKWY,,TYLER,75702,SMITH,Licensed Center - Child Care Program,150,1/17/90,3/2/22,2/7/22,1/17/90,Y,Full,,,,,,,,,,,,
5503,7,First Baptist Preschool Development,First Baptist Preschool Development (5503),500 WEBSTER AVE,,WACO,76706,MCLENNAN,Licensed Center - Child Care Program,300,12/12/86,3/2/22,2/7/22,7/15/20,Y,Full,,,,,,,,,,,,
5807,7,ST Martin's Lutheran Day School,ST Martin's Lutheran Day School (5807),606 W 15TH ST,,AUSTIN,78701,TRAVIS,Licensed Center - Child Care Program,140,1/23/86,3/2/22,2/7/22,1/23/86,Y,Full,,,,,,,,,,,,
5909-667,1,McLellan Learning Center,McLellan Learning Center (5909-667),401 S VAN BUREN ST,,AMARILLO,79101,POTTER,Licensed Center - Child Care Program,125,1/6/87,3/2/22,2/7/22,8/18/20,Y,Full,,,,,,,,,,,,
5910-667,1,Mary Miles Learning Center,Mary Miles Learning Center (5910-667),1700 S VAN BUREN ST,,AMARILLO,79102,POTTER,Licensed Center - Child Care Program,100,4/15/87,3/2/22,2/7/22,11/30/20,Y,Full,,,,,,,,,,,,
5911-667,1,Will Rogers Learning Center,Will Rogers Learning Center (5911-667),702 N JOHNSON ST,,AMARILLO,79107,POTTER,Licensed Center - Child Care Program,125,1/30/87,3/2/22,2/7/22,11/3/20,Y,Full,,,,,,,,,,,,
6070,3,Mary Peterson CCC,Mary Peterson CCC (6070),1103 E COLLIN ST,,CORSICANA,75110,NAVARRO,Licensed Center - Child Care Program,80,10/11/85,3/2/22,2/7/22,10/11/85,Y,Full,,,,,,,,,,,,
6092-5214,3,ChildCareGroup Anderson Center,ChildCareGroup Anderson Center (6092-5214),625 E AVENUE B,,GARLAND,75040,DALLAS,Licensed Center - Child Care Program,78,8/13/86,3/2/22,2/7/22,11/6/20,Y,Full,,,,,,,,,,,,
6668-667,1,Watley Learning Center,Watley Learning Center (6668-667),1208 NW 13TH AVE,,AMARILLO,79107,POTTER,Licensed Center - Child Care Program,65,1/5/87,3/2/22,2/7/22,10/15/20,Y,Full,,,,,,,,,,,,
