"","area","area_title","area_type","naics","naics_title","own_code","occ_code","occ_title","o_group","tot_emp","emp_prse","jobs_1000","loc_quotient","pct_total","h_mean","a_mean","mean_prse","h_pct10","h_pct25","h_median","h_pct75","h_pct90","a_pct10","a_pct25","a_median","a_pct75","a_pct90","annual","hourly","year","group","pct_tot"
"1",48,"Texas",2,0,"Cross-industry",1235,"25-2011","Preschool Teachers, Except Special Education","","20,410","6.3","1.981","0.73","",15.29,31810,3.3,8.14,9.22,12.19,21.07,"27.10",16930,19180,25360,43830,56370,NA,NA,2011,NA,NA
"2",48,"Texas",2,0,"Cross-industry",1235,"25-2012","Kindergarten Teachers, Except Special Education","","13,280","1.2","1.289","1.00","",NA,49570,0.8,NA,NA,NA,NA,"*",38720,42730,49170,56840,61930,1,NA,2011,NA,NA
"3",48,"Texas",2,0,"Cross-industry",1235,"35-3011","Bartenders","","30,610","3.5","2.971","0.74","",9.84,20470,2,7.6,8.01,8.68,9.41,"14.67",15810,16660,18060,19560,30510,NA,NA,2011,NA,NA
"4",48,"Texas",2,0,"Cross-industry",1235,"35-3031","Waiters and Waitresses","","194,710","1.9","18.896","1.06","",9.17,19070,0.9,7.6,7.99,8.64,9.31,"11.71",15800,16620,17980,19350,24360,NA,NA,2011,NA,NA
"5",48,"Texas",2,0,"Cross-industry",1235,"39-9011","Childcare Workers","","53,860","3.5","5.227","1.06","",9.16,19050,0.9,7.61,8.03,8.72,9.51,"11.52",15830,16700,18140,19790,23950,NA,NA,2011,NA,NA
"6",48,"Texas",2,0,"Cross-industry",1235,"41-2031","Retail Salespersons","","365,260","1.2","35.448","1.06","",11.62,24170,0.9,7.81,8.42,9.48,12.46,"17.91",16240,17510,19720,25920,37260,NA,NA,2011,NA,NA
"7",10180,"Abilene, TX",4,0,"Cross-industry",1235,"25-2011","Preschool Teachers, Except Special Education","","80","3.2","1.223","0.45","",19.38,40310,2.4,15.25,16.53,18.99,21.98,"25.18",31710,34390,39500,45710,52370,NA,NA,2011,NA,NA
"8",10180,"Abilene, TX",4,0,"Cross-industry",1235,"25-2012","Kindergarten Teachers, Except Special Education","","40","6.8","0.643","0.50","",NA,39860,4.2,NA,NA,NA,NA,"*",22220,32870,41790,47650,55350,1,NA,2011,NA,NA
"9",10180,"Abilene, TX",4,0,"Cross-industry",1235,"35-3011","Bartenders","","240","29.0","3.738","0.94","",9.04,18800,6,7.6,7.98,8.61,9.24,"12.95",15800,16590,17910,19230,26930,NA,NA,2011,NA,NA
"10",10180,"Abilene, TX",4,0,"Cross-industry",1235,"35-3031","Waiters and Waitresses","","1,230","11.4","19.491","1.09","",9.07,18850,4.2,7.61,8.03,8.73,9.53,"11.86",15830,16700,18160,19820,24670,NA,NA,2011,NA,NA
"11",10180,"Abilene, TX",4,0,"Cross-industry",1235,"39-9011","Childcare Workers","","480","8.6","7.537","1.53","",8.5,17670,1.9,7.57,7.92,8.49,9.07,"9.53",15750,16460,17660,18860,19820,NA,NA,2011,NA,NA
"12",10180,"Abilene, TX",4,0,"Cross-industry",1235,"41-2031","Retail Salespersons","","2,400","9.5","38.053","1.14","",13.03,27110,3.7,7.91,8.64,10.38,14.15,"21.54",16450,17970,21590,29430,44800,NA,NA,2011,NA,NA
"13",11100,"Amarillo, TX",4,0,"Cross-industry",1235,"25-2011","Preschool Teachers, Except Special Education","","**","**","**","**","",9.9,20590,6.3,7.7,8.09,8.73,9.38,"18.70",16010,16820,18170,19520,38900,NA,NA,2011,NA,NA
"14",11100,"Amarillo, TX",4,0,"Cross-industry",1235,"35-3011","Bartenders","","250","24.7","2.284","0.57","",11.12,23130,12.4,7.63,8.09,8.87,15.21,"19.92",15870,16830,18440,31640,41420,NA,NA,2011,NA,NA
"15",11100,"Amarillo, TX",4,0,"Cross-industry",1235,"35-3031","Waiters and Waitresses","","1,810","25.8","16.656","0.93","",9.37,19490,8.5,7.59,7.96,8.56,9.17,"11.31",15790,16550,17810,19080,23520,NA,NA,2011,NA,NA
"16",11100,"Amarillo, TX",4,0,"Cross-industry",1235,"39-9011","Childcare Workers","","480","14.0","4.400","0.89","",8.73,18160,3.3,7.59,7.95,8.55,9.16,"10.08",15780,16530,17790,19040,20960,NA,NA,2011,NA,NA
"17",11100,"Amarillo, TX",4,0,"Cross-industry",1235,"41-2031","Retail Salespersons","","3,880","5.7","35.634","1.07","",12.64,26300,3.3,7.85,8.52,9.92,13.99,"21.61",16340,17720,20640,29100,44950,NA,NA,2011,NA,NA
"18",12420,"Austin-Round Rock-San Marcos, TX",4,0,"Cross-industry",1235,"25-2011","Preschool Teachers, Except Special Education","","2,170","24.3","2.758","1.01","",14.51,30180,7.2,8.82,10.52,13.12,16.97,"23.82",18340,21890,27280,35290,49560,NA,NA,2011,NA,NA
"19",12420,"Austin-Round Rock-San Marcos, TX",4,0,"Cross-industry",1235,"25-2012","Kindergarten Teachers, Except Special Education","","1,090","3.6","1.382","1.07","",NA,48310,1.6,NA,NA,NA,NA,"*",39700,42480,47110,54980,60660,1,NA,2011,NA,NA
"20",12420,"Austin-Round Rock-San Marcos, TX",4,0,"Cross-industry",1235,"35-3011","Bartenders","","3,280","9.5","4.157","1.04","",9.48,19730,3.4,7.59,8,8.67,9.42,"13.19",15790,16640,18040,19600,27430,NA,NA,2011,NA,NA
"21",12420,"Austin-Round Rock-San Marcos, TX",4,0,"Cross-industry",1235,"35-3031","Waiters and Waitresses","","17,570","4.0","22.300","1.25","",8.82,18340,2.1,7.58,7.94,8.54,9.15,"11.87",15760,16510,17770,19020,24700,NA,NA,2011,NA,NA
"22",12420,"Austin-Round Rock-San Marcos, TX",4,0,"Cross-industry",1235,"39-9011","Childcare Workers","","4,130","15.4","5.236","1.06","",10.41,21650,2.2,7.96,8.9,10.2,11.31,"13.60",16560,18510,21230,23520,28280,NA,NA,2011,NA,NA
"23",12420,"Austin-Round Rock-San Marcos, TX",4,0,"Cross-industry",1235,"41-2031","Retail Salespersons","","28,490","4.0","36.159","1.09","",12.19,25340,2.5,7.88,8.59,10.05,12.94,"18.72",16390,17870,20910,26920,38930,NA,NA,2011,NA,NA
"24",13140,"Beaumont-Port Arthur, TX",4,0,"Cross-industry",1235,"25-2011","Preschool Teachers, Except Special Education","","400","34.2","2.590","0.95","",9.8,20390,5.3,7.68,8.05,8.67,9.29,"15.03",15970,16740,18030,19310,31270,NA,NA,2011,NA,NA
"25",13140,"Beaumont-Port Arthur, TX",4,0,"Cross-industry",1235,"25-2012","Kindergarten Teachers, Except Special Education","","120","10.8","0.783","0.61","",NA,48410,2.6,NA,NA,NA,NA,"*",34680,40460,47620,56320,62040,1,NA,2011,NA,NA
"26",13140,"Beaumont-Port Arthur, TX",4,0,"Cross-industry",1235,"35-3011","Bartenders","","430","27.8","2.792","0.70","",8.3,17250,3,7.52,7.84,8.37,8.91,"9.23",15650,16310,17420,18520,19190,NA,NA,2011,NA,NA
"27",13140,"Beaumont-Port Arthur, TX",4,0,"Cross-industry",1235,"35-3031","Waiters and Waitresses","","2,690","9.5","17.369","0.97","",8.28,17220,1.8,7.54,7.88,8.43,8.99,"9.37",15690,16380,17540,18700,19480,NA,NA,2011,NA,NA
"28",13140,"Beaumont-Port Arthur, TX",4,0,"Cross-industry",1235,"39-9011","Childcare Workers","","670","21.6","4.335","0.88","",8.59,17880,2.7,7.56,7.9,8.46,9.03,"9.46",15710,16420,17600,18790,19670,NA,NA,2011,NA,NA
"29",13140,"Beaumont-Port Arthur, TX",4,0,"Cross-industry",1235,"41-2031","Retail Salespersons","","6,270","8.4","40.495","1.22","",11.3,23510,2.9,7.86,8.51,9.59,11.64,"16.59",16360,17700,19950,24200,34510,NA,NA,2011,NA,NA
